service_id,date,exception_type
2020-M15_A-Lun-Mer-07,20200520,2
2020-M15_A-Jeu-Ven-08,20200508,2
2020-M15_A-Jeu-Ven-08-0001100,20200508,2
2020-M15_A-Jeu-Ven-08,20200521,2
2020-M15_A-Jeu-Ven-08-0001100,20200521,2
2020-M15_A-Jeu-Ven-08,20200520,1
2020-M15_A-Jeu-Ven-08-0001100,20200520,1
2020-M15_C-Dimanche-02,20200510,2
2020-M15_C-Dimanche-02,20200517,2
2020-M15_C-Dimanche-02,20200524,2
2020-M15_C-Dimanche-02,20200508,1
2020-M15_C-Dimanche-02,20200521,1
2020-M16_APCA-Semaine-12,20200413,2
2020-M16_CPCA-Dimanche-12,20200413,1
2020-M16_A-Lun-Mer-07,20200520,2
2020-M16_A-Jeu-Ven-08,20200508,2
2020-M16_A-Jeu-Ven-08-0001100,20200508,2
2020-M16_A-Jeu-Ven-08,20200521,2
2020-M16_A-Jeu-Ven-08-0001100,20200521,2
2020-M16_A-Jeu-Ven-08,20200520,1
2020-M16_A-Jeu-Ven-08-0001100,20200520,1
2020-M16_C-Dimanche-05,20200510,2
2020-M16_C-Dimanche-05,20200517,2
2020-M16_C-Dimanche-05,20200524,2
2020-M16_C-Dimanche-05,20200508,1
2020-M16_C-Dimanche-05,20200521,1
2020-M20_APCA-Semaine-12,20200413,2
2020-M20_CPCA-Dimanche-12,20200413,1
2020-M20_C-Dimanche-02,20200508,1
2020-M20_C-Dimanche-02,20200521,1
2020-M20_A-Semaine-02,20200508,2
2020-M20_A-Semaine-02,20200521,2
2020-M21_APCA-Semaine-10,20200413,2
2020-M21_C2-Dimanche-01,20200413,1
2020-M21_C2-Dimanche-01,20200508,1
2020-M21_C2-Dimanche-01,20200521,1
2020-M21_A2-Semaine-01,20200508,2
2020-M21_A2-Semaine-01,20200521,2
2020-M22_APCA-Semaine-11,20200413,2
2020-M22_CPCA-Dimanche-11,20200413,1
2020-M22_C-Dimanche-01,20200508,1
2020-M22_C-Dimanche-01,20200521,1
2020-M22_A1-Semaine-01,20200508,2
2020-M22_A1-Semaine-01,20200521,2
2020-M23_APCA-Semaine-12,20200413,2
2020-M23_CPCA-Dimanche-12,20200413,1
2020-M23_C-Dimanche-04,20200508,1
2020-M23_C-Dimanche-04,20200521,1
2020-M23_A-Semaine-09,20200508,2
2020-M23_A-Semaine-09,20200521,2
2020-M25_A1-Semaine-01,20200508,2
2020-M25_A1-Semaine-01,20200521,2
2020-M26_C2-Dimanche-02,20200508,1
2020-M26_C2-Dimanche-02,20200521,1
2020-M26_A2-Semaine-02,20200508,2
2020-M26_A2-Semaine-02,20200521,2
2020-M27_APCA-Semaine-11,20200413,2
2020-M27_CPCA-Dimanche-11,20200413,1
2020-M27_C-Dimanche-01,20200508,1
2020-M27_C-Dimanche-01,20200521,1
2020-M27_A-Semaine-04,20200508,2
2020-M27_A-Semaine-04,20200521,2
2020-M29_C2-Dimanche-07,20200508,1
2020-M29_C2-Dimanche-07,20200521,1
2020-M29_A2-Semaine-18,20200508,2
2020-M29_A2-Semaine-18,20200521,2
2020-M30_APCA-Semaine-11,20200413,2
2020-M30_C-Dimanche-09,20200413,1
2020-M30_A-Semaine-08,20200508,2
